Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Альфа-Банк;1326;5;2019-01-01;негосударственных финансовых организаций;14207;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных коммерческих организаций;14208;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных некоммерческих организаций;14209;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;14210;0;0;0
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;14211;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальных предпринимателей;14212;0;0;0
Альфа-Банк;1326;5;2019-01-01;юридических лиц - нерезидентов;14213;0;0;0
Альфа-Банк;1326;5;2019-01-01;Федерального казначейства;14301;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовых органов субъектов Российской Федерации и органов местного самоуправления;14302;0;0;0
Альфа-Банк;1326;5;2019-01-01;государственных внебюджетных фондов Российской Федерации;14303;0;0;0
Альфа-Банк;1326;5;2019-01-01;внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления;14304;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовых организаций, находящихся в федеральной собственности;14305;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческих организаций, находящихся в федеральной собственности;14306;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческих организаций, находящихся в федеральной собственности;14307;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовых организаций, находящихся в государственной (кроме федеральной) собственности;14308;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческих организаций, находящихся в государственной (кроме федеральной) собственности;14309;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности;14310;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных финансовых организаций;14311;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных коммерческих организаций;14312;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных некоммерческих организаций;14313;0;0;0
Альфа-Банк;1326;5;2019-01-01;юридических лиц - нерезидентов;14314;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;14315;0;0;0
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;14316;0;0;0
Альфа-Банк;1326;5;2019-01-01;Банка России;14317;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальных предпринимателей;14318;0;0;0
Альфа-Банк;1326;5;2019-01-01;Минфина России;14401;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовых органов субъектов Российской Федерации и органов местного самоуправления;14402;0;0;0
Альфа-Банк;1326;5;2019-01-01;государственных внебюджетных фондов Российской Федерации;14403;0;0;0
Альфа-Банк;1326;5;2019-01-01;внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления;14404;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовых организаций, находящихся в федеральной собственности;14405;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческих организаций, находящихся в федеральной собственности;14406;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческих организаций, находящихся в федеральной собственности;14407;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовых организаций, находящихся в государственной (кроме федеральной) собственности;14408;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческих организаций, находящихся в государственной (кроме федеральной) собственности;14409;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности;14410;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных финансовых организаций;14411;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных коммерческих организаций;14412;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственных некоммерческих организаций;14413;0;0;0
Альфа-Банк;1326;5;2019-01-01;юридических лиц - нерезидентов;14414;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитных организаций;14415;0;0;0
Альфа-Банк;1326;5;2019-01-01;банков-нерезидентов;14416;0;0;0
Альфа-Банк;1326;5;2019-01-01;Банка России;14417;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальных предпринимателей;14418;0;0;0
Альфа-Банк;1326;5;2019-01-01;граждан Российской Федерации;14501;0;0;0
Альфа-Банк;1326;5;2019-01-01;нерезидентов;14502;0;0;0
Альфа-Банк;1326;5;2019-01-01;граждан Российской Федерации;14601;0;0;0
Альфа-Банк;1326;5;2019-01-01;нерезидентов;14602;0;0;0
Альфа-Банк;1326;5;2019-01-01;граждан Российской Федерации;14701;0;0;0
Альфа-Банк;1326;5;2019-01-01;нерезидентов;14702;0;0;0
Альфа-Банк;1326;5;2019-01-01;по облигациям;14801;0;0;0
Альфа-Банк;1326;5;2019-01-01;по депозитным сертификатам;14802;0;0;0
Альфа-Банк;1326;5;2019-01-01;по сберегательным сертификатам;14803;0;0;0
Альфа-Банк;1326;5;2019-01-01;по векселям;14804;0;0;0
Альфа-Банк;1326;5;2019-01-01;по прочим выпущенным долговым ценным бумагам;14805;0;0;0
Альфа-Банк;1326;5;2019-01-01;Минфину России;15101;0;;0
Альфа-Банк;1326;5;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;15102;136896;;136896
Альфа-Банк;1326;5;2019-01-01;государственным внебюджетным фондам Российской Федерации;15103;0;;0
Альфа-Банк;1326;5;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;15104;0;;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в федеральной собственности;15105;0;;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;15106;2486149;;2486149
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;15107;0;;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;15108;0;;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;15109;187268;;187268
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;15110;0;;0
Альфа-Банк;1326;5;2019-01-01;негосударственным финансовым организациям;15111;8088885;;8088885
Альфа-Банк;1326;5;2019-01-01;негосударственным коммерческим организациям;15112;81422205;;81422205
Альфа-Банк;1326;5;2019-01-01;негосударственным некоммерческим организациям;15113;41481;;41481
Альфа-Банк;1326;5;2019-01-01;индивидуальным предпринимателям;15114;254852;;254852
Альфа-Банк;1326;5;2019-01-01;гражданам (физическим лицам);15115;49504586;;49504586
Альфа-Банк;1326;5;2019-01-01;юридическим лицам - нерезидентам;15116;18226839;;18226839
Альфа-Банк;1326;5;2019-01-01;физическим лицам - нерезидентам;15117;25853;;25853
Альфа-Банк;1326;5;2019-01-01;кредитным организациям;15118;2141187;;2141187
Альфа-Банк;1326;5;2019-01-01;банкам-нерезидентам;15119;321300;;321300
Альфа-Банк;1326;5;2019-01-01;иностранным государствам;15120;0;;0
Альфа-Банк;1326;5;2019-01-01;в Минфине России;15201;0;;0
Альфа-Банк;1326;5;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;15202;0;;0
Альфа-Банк;1326;5;2019-01-01;в государственных внебюджетных фондах Российской Федерации;15203;0;;0
Альфа-Банк;1326;5;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;15204;0;;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;15205;0;;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;15206;22609;;22609
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;15207;0;;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;15208;0;;0
